state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
IA,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,12,97,3,3,,07/01/2024,06/30/2025
IA,MORT_30_AMI,Death rate for heart attack patients,0,24,0,76,,07/01/2022,06/30/2025
IA,MORT_30_CABG,Death rate for CABG surgery patients,0,9,0,1,,07/01/2022,06/30/2025
IA,MORT_30_COPD,Death rate for COPD patients,0,37,0,79,,07/01/2022,06/30/2025
IA,MORT_30_HF,Death rate for heart failure patients,3,54,0,60,,07/01/2022,06/30/2025
IA,MORT_30_PN,Death rate for pneumonia patients,3,92,0,22,,07/01/2022,06/30/2025
IA,MORT_30_STK,Death rate for stroke patients,0,30,1,76,,07/01/2023,06/30/2025
IA,PSI_03,Pressure ulcer rate,5,27,0,1,,07/01/2022,06/30/2024
IA,PSI_04,Death rate among surgical inpatients with serious treatable complications,2,14,0,11,,07/01/2022,06/30/2024
IA,PSI_06,Iatrogenic pneumothorax rate,0,32,0,1,,07/01/2022,06/30/2024
IA,PSI_08,In-hospital fall-associated fracture rate,0,32,0,1,,07/01/2022,06/30/2024
IA,PSI_09,Postoperative hemorrhage or hematoma rate,0,31,0,1,,07/01/2022,06/30/2024
IA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,29,0,2,,07/01/2022,06/30/2024
IA,PSI_11,Postoperative respiratory failure rate,1,29,0,1,,07/01/2022,06/30/2024
IA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,31,0,1,,07/01/2022,06/30/2024
IA,PSI_13,Postoperative sepsis rate,0,30,0,1,,07/01/2022,06/30/2024
IA,PSI_14,Postoperative wound dehiscence rate,0,27,0,3,,07/01/2022,06/30/2024
IA,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,30,0,2,,07/01/2022,06/30/2024
IA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,5,26,0,Not Available,,07/01/2022,06/30/2024
ID,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,10,0,18,,04/01/2023,03/31/2025
